# Minor League Baseball Teams by State (Browseable Team List)

| State | Team | City | Home Ballpark | League Level | MLB Affiliate |
|---|---|---|---|---|---|
| Colorado | Albuquerque Isotopes | Albuquerque | Rio Grande Credit Union Field at Isotopes Park | Triple-A | Colorado Rockies |
| Georgia | Gwinnett Stripers | Lawrenceville | Coolray Field | Triple-A | Atlanta Braves |
| Illinois | Peoria Chiefs | Peoria | Dozer Park | High-A | St. Louis Cardinals |
| Iowa | Iowa Cubs | Des Moines | Principal Park | Triple-A | Chicago Cubs |
| Kentucky | Louisville Bats | Louisville | Louisville Slugger Field | Triple-A | Cincinnati Reds |
| Michigan | West Michigan Whitecaps | Comstock Park | LMCU Ballpark | High-A | Detroit Tigers |
| New York | Syracuse Mets | Syracuse | NBT Bank Stadium | Triple-A | New York Mets |
| Ohio | Toledo Mud Hens | Toledo | Fifth Third Field | Triple-A | Detroit Tigers |
| Tennessee | Nashville Sounds | Nashville | First Horizon Park | Triple-A | Milwaukee Brewers |
| Texas | Round Rock Express | Round Rock | Dell Diamond | Triple-A | Texas Rangers |
