# Oxygen-Containing Functional Groups  Naming Priority and Suffix Rules (IUPAC)

| Priority | Functional group | Typical suffix | Typical prefix | Notes |
| --- | --- | --- | --- | --- |
| 1 | Carboxylic acid | -oic acid | carboxy- | Highest priority oxygen group in common lists |
| 2 | Sulfonic acid | -sulfonic acid | sulfo- | Often outranks carbonyl derivatives |
| 3 | Ester | -oate | alkoxycarbonyl- | Named from alcohol + acid parts |
| 4 | Aldehyde | -al | formyl- | Carbonyl at chain end |
| 5 | Ketone | -one | oxo- | Carbonyl within chain |
| 6 | Alcohol | -ol | hydroxy- | Can be multiple: diol, triol |
| 7 | Ether | (no suffix) | alkoxy- | Commonly treated as substituent |
| 8 | Epoxide | (no fixed suffix) | epoxy- | Considered a cyclic ether |
| 9 | Peroxide | (no fixed suffix) | peroxy- | -O-O- linkage |
| 10 | Acetal | (no fixed suffix) | alkoxyalkyl- | Often named as substituted ether |
| 11 | Phenol | -ol | hydroxy- | Uses aromatic parent names |
| 12 | Anhydride | -oic anhydride | (rare) | Derived from two acids |
