# MacOS
> MacBook Air

| MacBook Air | Date introduced | Original OS X included | Later OS X included | OS X Build(s) |
| --- | --- | --- | --- | --- |
| MacBook Air (11-inch, Early 2015) | Mar 2015 | 10.10.2 | 10.11, 10.11.1, 10.11.2 | 14C2043, 15A284, 15B42, 15C50 |
| MacBook Air (13-inch, Early 2015) | Mar 2015 | 10.10.2 | 10.11, 10.11.1, 10.11.2 | 14C2043, 15A284, 15B42, 15C50 |
| MacBook Air (11-inch, Early 2014) | April 2014 | 10.9.2 | 10.9, 10.9.2, 10.9.4 | 13C64, 13E28 |
| MacBook Air (13-inch, Early 2014) | April 2014 | 10.9.2 | 10.9, 10.9.2, 10.9.4 | 13C64, 13E28 |
| MacBook Air (11-inch, Mid 2013) | Jun 2013 | 10.8.4 | 10.9, 10.9.2 | 12E3067, 13A603, 13C64 |
| MacBook Air (13-inch, Mid 2013) | Jun 2013 | 10.8.4 | 10.9, 10.9.2 | 12E3067, 13A603, 13C64 |
| MacBook Air (11-inch, Mid 2012) | Jun 2012 | 10.7.4 | 10.8, 10.8.3 | 11E2520, 11E2702, 12A269, 12D78 |
| MacBook Air (13-inch, Mid 2012) | Jun 2012 | 10.7.4 | 10.8, 10.8.3 | 11E2520, 11E2702, 12A269, 12D78 |
| MacBook Air (11-inch, Mid 2011) | Jul 2011 | 10.7 | 10.7.2, 10.7.3 | 11A2063, 11C74, 11D2001 |
| MacBook Air (13-inch, Mid 2011) | Jul 2011 | 10.7 | 10.7.2, 10.7.3 | 11A2063, 11C74, 11D2001 |
| MacBook Air (11-inch, Late 2010) | Oct 2010 | 10.6.4 | 10.6.5 | 10F3061,10H717 |
| MacBook Air (13-inch, Late 2010) | Oct 2010 | 10.6.4 | 10.6.5 | 10F3061,10H717 |
| MacBook Air (Mid 2009) | Jun 2009 | 10.5.6 | 10.6 | 9G2152, 10A432 |
| MacBook Air (Late 2008) | Nov 2008 | 10.5.5 | 10.5.6 | 9F2523, 9F2533, 9G2133 |
| MacBook Air (Early 2008) | Jan 2008 | 10.5.1 | 10.5.2, 10.5.4 | 9B2324, 9C3033, 9E25 |
