# Global Systemically Important Banks (G-SIBs) — Score-Based Ranking

| Rank | Bank | Home Country | G-SIB Score | Bucket | Total Assets (USD tn) |
|---:|---|---|---:|---:|---:|
| 1 | JPMorgan Chase & Co. | United States | 420 | 4 | 3.9 |
| 2 | HSBC Holdings | United Kingdom | 380 | 3 | 3.0 |
| 3 | Citigroup | United States | 330 | 3 | 2.4 |
| 4 | Bank of China | China | 320 | 2 | 4.2 |
| 5 | BNP Paribas | France | 300 | 2 | 2.8 |
| 6 | Bank of America | United States | 290 | 2 | 3.2 |
| 7 | Barclays | United Kingdom | 270 | 2 | 1.9 |
| 8 | Deutsche Bank | Germany | 260 | 2 | 1.4 |
| 9 | UBS Group | Switzerland | 250 | 2 | 1.7 |
| 10 | Crédit Suisse (legacy) | Switzerland | 240 | 1 | 0.6 |
