# Joinable Minecraft Java Servers (Clean Address List)

| Server Name | Join Address | Version Range | Region | Notes |
| --- | --- | --- | --- | --- |
| AuroraMC | play.auroramc.net | 1.20–1.21 | NA | Survival + jobs |
| Brickhaven | mc.brickhaven.org | 1.19–1.21 | EU | Semi-vanilla with claims |
| CloudVale | cloudvale.gg | 1.18–1.21 | NA | Skyblock + economy |
| EmberRealms | play.emberrealms.com:25565 | 1.20–1.21 | NA | Explicit port shown |
| FrostForge | connect.frostforge.net | 1.16–1.21 | EU | Vanilla+ RPG |
| MeadowCraft | mc.meadowcraft.io | 1.20–1.21 | AS | SMP with seasons |
| Redwood Network | hub.redwoodmc.com | 1.8–1.21 | NA | Multi-mode hub |
| Stonegate | play.stonegate.co.uk | 1.20–1.21 | EU | Towny + trading |
| SunlitMC | sunlitmc.net | 1.20–1.21 | OC | Friendly SMP |
| WyvernCraft | mc.wyverncraft.net:25570 | 1.12–1.21 | NA | Modded gateway port |
