# YouTube Channel Popularity Table — Owner-Centric Breakdown with Subscriber Bands

| Owner / Network | Channel | Subscriber Band | Rank (within Owner) | Main Genre | Notes |
|---|---|---|---:|---|---|
| Super Cassettes Industries | T-Series | 200M+ | 1 | Music | Flagship label channel |
| Beast Industries | MrBeast | 200M+ | 1 | Entertainment | Creator-led business entity |
| Moonbug Entertainment | Cocomelon - Nursery Rhymes | 150–199M | 1 | Kids | Network-owned kids brand |
| Sony (SPNI) | SET India | 150–199M | 1 | TV | Broadcaster channel |
| YG Entertainment | BLACKPINK | 90–99M | 1 | Music | Label-managed group |
| Zee Entertainment | Zee Music Company | 90–99M | 1 | Music | Label catalog channel |
| TKO Group Holdings | WWE | 100–149M | 1 | Sports | Corporate sports brand |
| Independent (Family) | Kids Diana Show | 100–149M | 1 | Kids | Family-operated channel |
| Independent (Family) | Like Nastya | 100–149M | 1 | Kids | Family-operated channel |
| Independent (Individual) | PewDiePie | 100–149M | 1 | Gaming | Individual creator brand |
