# Global Systemically Important Banks (G-SIBs)  Ranking by Total Assets (USD, latest available fiscal year)

| Rank (Assets) | Bank | HQ Country/Region | Total Assets (USD, trillions) | Fiscal Year | Notes |
| --- | --- | --- | --- | --- | --- |
| 1 | Industrial and Commercial Bank of China (ICBC) | China | 6.30 | 2023 | Reported under IFRS-equivalent disclosures |
| 2 | China Construction Bank (CCB) | China | 5.60 | 2023 | Assets include consolidated subsidiaries |
| 3 | Agricultural Bank of China (ABC) | China | 5.30 | 2023 | State-controlled commercial bank |
| 4 | Bank of China (BOC) | China | 4.80 | 2023 | International network across major markets |
| 5 | JPMorgan Chase & Co. | United States | 3.90 | 2023 | Largest U.S. bank by assets |
| 6 | BNP Paribas | France | 3.10 | 2023 | Major euro-area universal bank |
| 7 | HSBC Holdings | United Kingdom | 3.00 | 2023 | Globally diversified balance sheet |
| 8 | Crédit Agricole Group | France | 2.90 | 2023 | Cooperative banking group |
| 9 | Bank of America | United States | 2.60 | 2023 | Large retail and wholesale bank |
| 10 | Mitsubishi UFJ Financial Group (MUFG) | Japan | 2.50 | 2023 | Japan’s largest banking group |
| 11 | Citigroup | United States | 2.40 | 2023 | International corporate & investment bank |
| 12 | Sumitomo Mitsui Financial Group (SMFG) | Japan | 2.20 | 2023 | Strong Asia-Pacific presence |
| 13 | Barclays | United Kingdom | 2.00 | 2023 | Universal bank with investment banking arm |
| 14 | Deutsche Bank | Germany | 1.90 | 2023 | Significant capital markets franchise |
| 15 | UBS Group | Switzerland | 1.70 | 2023 | Expanded after major acquisition integration |
| 16 | Santander Group | Spain | 1.80 | 2023 | Retail-focused with global footprint |
