# Jeep Hub Fitment Pattern Reference (Bolt Pattern Only, No Wheel Size)

| Model | Generation | Model Years | Bolt Pattern (PCD) |
| --- | --- | --- | --- |
| Wrangler YJ | YJ | 1987-1995 | 5x114.3 |
| Wrangler TJ | TJ | 1997-2006 | 5x114.3 |
| Wrangler JK | JK | 2007-2018 | 5x127 |
| Wrangler JL | JL | 2018-2023 | 5x127 |
| Grand Cherokee ZJ | ZJ | 1993-1998 | 5x114.3 |
| Grand Cherokee WJ | WJ | 1999-2004 | 5x127 |
| Grand Cherokee WK | WK | 2005-2010 | 5x127 |
| Cherokee XJ | XJ | 1984-2001 | 5x114.3 |
| CJ-5 / CJ-7 | CJ | 1976-1986 | 5x139.7 |
| Liberty KJ | KJ | 2002-2007 | 5x114.3 |
