# Club Honours Record — Rangers FC (Selected Titles Across Eras)

| Season/Year | Honour (Trophy/Title) | Category | Outcome |
| --- | --- | --- | --- |
| 1890–91 | Scottish League Championship | Domestic League | Champions |
| 1893–94 | Scottish Cup | Domestic Cup | Winners |
| 1927–28 | Scottish League Championship | Domestic League | Champions |
| 1935–36 | Scottish League Championship | Domestic League | Champions |
| 1948–49 | Scottish League Championship | Domestic League | Champions |
| 1960–61 | Scottish Cup | Domestic Cup | Winners |
| 1963–64 | Scottish League Championship | Domestic League | Champions |
| 1971–72 | Scottish League Championship | Domestic League | Champions |
| 1971–72 | Scottish Cup | Domestic Cup | Winners |
| 1971–72 | European Cup Winners' Cup | European | Winners |
| 1977–78 | Scottish League Championship | Domestic League | Champions |
| 1986–87 | Scottish League Championship | Domestic League | Champions |
| 1992–93 | Scottish League Championship | Domestic League | Champions |
| 1995–96 | Scottish League Championship | Domestic League | Champions |
| 1998–99 | Scottish League Championship | Domestic League | Champions |
| 2002–03 | Scottish League Championship | Domestic League | Champions |
| 2020–21 | Scottish Premiership | Domestic League | Champions |
