# World Rapid Championship Final Standings (Points and Tiebreaks)

| Rank | Player | Federation | Points | Buchholz | Sonneborn-Berger |
|---:|---|---|---:|---:|---:|
| 1 | Magnus Carlsen | NOR | 10.5/13 | 78.0 | 63.25 |
| 2 | Hikaru Nakamura | USA | 10.0/13 | 79.5 | 61.50 |
| 3 | Ian Nepomniachtchi | RUS | 9.5/13 | 76.0 | 58.75 |
| 4 | Fabiano Caruana | USA | 9.0/13 | 77.0 | 56.00 |
| 5 | Ding Liren | CHN | 9.0/13 | 75.5 | 55.25 |
| 6 | Alireza Firouzja | FRA | 8.5/13 | 74.0 | 52.50 |
| 7 | Wesley So | USA | 8.5/13 | 73.5 | 51.75 |
| 8 | Levon Aronian | ARM | 8.0/13 | 72.0 | 49.00 |
| 9 | Maxime Vachier-Lagrave | FRA | 8.0/13 | 71.5 | 48.25 |
