# List of LTE EARFCN Channels and Downlink Center Frequencies (Band 3 Example)

| EARFCN (DL) | LTE Band | DL Center Frequency (MHz) | DL Frequency Range (MHz) | Channel Raster |
| --- | --- | --- | --- | --- |
| 1200 | 3 | 1805.0 MHz | 1805.0–1805.0 MHz | 100 kHz steps |
| 1300 | 3 | 1815.0 MHz | 1815.0–1815.0 MHz | 100 kHz steps |
| 1400 | 3 | 1825.0 MHz | 1825.0–1825.0 MHz | 100 kHz steps |
| 1500 | 3 | 1835.0 MHz | 1835.0–1835.0 MHz | 100 kHz steps |
| 1600 | 3 | 1845.0 MHz | 1845.0–1845.0 MHz | 100 kHz steps |
| 1700 | 3 | 1855.0 MHz | 1855.0–1855.0 MHz | 100 kHz steps |
| 1800 | 3 | 1865.0 MHz | 1865.0–1865.0 MHz | 100 kHz steps |
| 1900 | 3 | 1875.0 MHz | 1875.0–1875.0 MHz | 100 kHz steps |
| 2000 | 3 | 1885.0 MHz | 1885.0–1885.0 MHz | 100 kHz steps |
| 2100 | 3 | 1895.0 MHz | 1895.0–1895.0 MHz | 100 kHz steps |
