# Jewish Holiday Calendar Dates (Gregorian) — Selected Years with Start End at Sundown

| Holiday | Observance Type | 2024 Date Range (sundown–nightfall) | 2025 Date Range (sundown–nightfall) | Day Span |
| --- | --- | --- | --- | --- |
| Rosh Hashanah | Major festival | Oct 2–Oct 4, 2024 | Sep 22–Sep 24, 2025 | 2 days |
| Yom Kippur | Major fast day | Oct 11–Oct 12, 2024 | Oct 1–Oct 2, 2025 | ~25 hours |
| Sukkot | Pilgrimage festival | Oct 16–Oct 24, 2024 | Oct 6–Oct 14, 2025 | 7 days (+Shemini Atzeret/Simchat Torah follow) |
| Shemini Atzeret | Festival day | Oct 23–Oct 24, 2024 | Oct 13–Oct 14, 2025 | 1 day |
| Simchat Torah | Festival celebration | Oct 24–Oct 25, 2024 | Oct 14–Oct 15, 2025 | 1 day |
| Hanukkah | Minor festival | Dec 25, 2024–Jan 2, 2025 | Dec 14–Dec 22, 2025 | 8 nights |
| Purim | Minor festival | Mar 23–Mar 24, 2024 | Mar 13–Mar 14, 2025 | 1 day |
| Passover (Pesach) | Pilgrimage festival | Apr 22–Apr 30, 2024 | Apr 12–Apr 20, 2025 | 7 days (Israel) / 8 days (Diaspora) |
| Shavuot | Pilgrimage festival | Jun 11–Jun 13, 2024 | Jun 1–Jun 3, 2025 | 1 day (Israel) / 2 days (Diaspora) |
