# Guitar Hero III  Legends of Rock — Main Setlist (Selected Tracks)

| Category | Song title | Performer | Notes |
| --- | --- | --- | --- |
| Career (Early) | "Slow Ride" | Foghat | Original master recording |
| Career (Early) | "Hit Me with Your Best Shot" | Pat Benatar | Original master recording |
| Career (Mid) | "Miss Murder" | AFI | Original master recording |
| Career (Mid) | "The Seeker" | The Who | Original master recording |
| Career (Mid) | "Lay Down" | Priestess | Original master recording |
| Career (Late) | "Welcome to the Jungle" | Guns N' Roses | Original master recording |
| Career (Late) | "One" | Metallica | Original master recording |
| Career (Late) | "Knights of Cydonia" | Muse | Original master recording |
| Boss Battle | "The Devil Went Down to Georgia" | Charlie Daniels Band | Cover/arranged version varies by release |
| Final Encore | "Through the Fire and Flames" | DragonForce | Original master recording |
