# United Kingdom (Home Office) — Proscribed Terrorist Organisations (Terrorism Act 2000)  Sample Roster with Proscription Metadata

| Proscribed Organisation (name on list) | Jurisdiction / Authority | Legal Instrument | Date Proscribed (UK) | Listing Notes |
| --- | --- | --- | --- | --- |
| Al-Qaeda | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2001-03-29 | Proscribed under UK terrorism legislation; subject to criminal offences for support |
| Islamic State (ISIL/Da’esh) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2014-06-20 | Listed as a proscribed organisation; name variants covered in UK listing practice |
| Hamas (Izz al-Din al-Qassam Brigades) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2001-03-29 | Proscribed listing entry focusing on organisational designation |
| Hezbollah (entire organisation) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2019-02-26 | UK proscription updated to cover entire organisation |
| Kurdistan Workers' Party (PKK) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2001-03-29 | Proscribed organisation entry; UK list is maintained as a roster |
| Liberation Tigers of Tamil Eelam (LTTE) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2001-03-29 | Proscribed under the UK statutory list maintained by Home Office |
| Abu Sayyaf Group (ASG) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2001-03-29 | Included as an organisational designation entry |
| Egyptian Islamic Jihad (EIJ) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2001-03-29 | Proscribed as a group; presented as roster-style listing |
| Gama'a al-Islamiyya | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2001-03-29 | Organisational listing with proscription date metadata |
| Armed Islamic Group (GIA) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2001-03-29 | Listed on UK proscribed organisations roster |
| Revolutionary People's Liberation Party/Front (DHKP/C) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2001-03-29 | Proscribed organisation entry; no incident narrative included |
| Islamic Jihad Union (IJU) | United Kingdom (Home Office) | Terrorism Act 2000 (proscription) | 2007-07-06 | Added later than the initial 2001 tranche; roster-style entry |
