# TV Series — Cast & Crew with Episode Counts Hidden Behind Ranges (Non-numeric, Not Comparable)

| Name | Credit Type | Role | Episode Presence |
|---|---|---|---|
| Harper Quinn | Cast | Self — Host | "many" |
| Miles Sutton | Cast | Self — Announcer | "several" |
| Rina Patel | Cast | Self — Panelist | "occasional" |
| Cole Anders | Cast | Self — Guest | "one-off" |
| Dana Kim | Crew | Producer | "most seasons" |
| Felix Ward | Crew | Director | "varies" |
| Laila Nouri | Crew | Writer | "recurring" |
| Owen Blake | Crew | Editor | "throughout" |
| Simone Duarte | Crew | Casting | "as needed" |
