# State Debt Snapshot  Total Debt and Population (No Per-Person Column)

| State | Total state debt (USD) | Population estimate | Source year | Comment |
|---|---:|---:|---:|---|
| California | 777,918,403,000 | 38,900,000 | 2022 | Large state; totals dominate comparisons |
| Oregon | 86,678,268,000 | 4,200,000 | 2022 | Mid-sized population |
| Nevada | 52,838,629,000 | 3,100,000 | 2022 | Rapid growth |
| Ohio | 321,340,764,000 | 11,800,000 | 2022 | Large outstanding debt |
| Illinois | 321,354,115,000 | 12,600,000 | 2022 | Similar total to Ohio |
| Indiana | 46,377,635,000 | 6,800,000 | 2022 | Lower totals |
| Utah | 35,727,752,000 | 3,400,000 | 2022 | Fast-growing |
| Colorado | 86,879,414,000 | 5,200,000 | 2022 | Higher totals |
| Idaho | 15,094,322,000 | 1,900,000 | 2022 | Small state |
| Washington | 120,000,000,000 | 7,800,000 | 2022 | Higher authority borrowing |
