# High-Density Metals Ranked by Density (g cm³)

| Rank (dense → less dense) | Metal | Symbol | Density (g/cm³) | Notes |
| --- | --- | --- | --- | --- |
| 1 | Osmium | Os | 22.59 | very high density |
| 2 | Iridium | Ir | 22.56 | corrosion-resistant |
| 3 | Platinum | Pt | 21.45 | noble metal |
| 4 | Rhenium | Re | 21.02 | high melting point |
| 5 | Gold | Au | 19.32 | noble metal |
| 6 | Tungsten | W | 19.25 | very high melting point |
| 7 | Uranium | U | 19.05 | radioactive |
| 8 | Tantalum | Ta | 16.65 | corrosion-resistant |
| 9 | Mercury | Hg | 13.53 | liquid at room temperature |
| 10 | Lead | Pb | 11.34 | soft, dense |
