# U.S. Armed Forces Pay Grade to Service Rank Mapping (Enlisted and Officer)

| Pay Grade | Army | Navy | Air Force | Marine Corps | Coast Guard |
| --- | --- | --- | --- | --- | --- |
| E-1 | Private | Seaman Recruit | Airman Basic | Private | Seaman Recruit |
| E-2 | Private (PV2) | Seaman Apprentice | Airman | Private First Class | Seaman Apprentice |
| E-3 | Private First Class | Seaman | Airman First Class | Lance Corporal | Seaman |
| E-4 | Specialist / Corporal | Petty Officer Third Class | Senior Airman | Corporal | Petty Officer Third Class |
| E-5 | Sergeant | Petty Officer Second Class | Staff Sergeant | Sergeant | Petty Officer Second Class |
| E-6 | Staff Sergeant | Petty Officer First Class | Technical Sergeant | Staff Sergeant | Petty Officer First Class |
| O-1 | Second Lieutenant | Ensign | Second Lieutenant | Second Lieutenant | Ensign |
| O-2 | First Lieutenant | Lieutenant (JG) | First Lieutenant | First Lieutenant | Lieutenant (JG) |
| O-3 | Captain | Lieutenant | Captain | Captain | Lieutenant |
