# 1971–72 Los Angeles Lakers season
> Regular season

| Date | Opponent | Result | Score | Record | Streak |
| --- | --- | --- | --- | --- | --- |
| Fri, Oct 15, 1971 | @ Detroit Pistons | Win | 132–103 | 1–0 | Won 1 |
| Sat, Oct 16, 1971 | @ New York Knicks | Win | 119–104 | 2–0 | Won 2 |
| Tue, Oct 19, 1971 | @ Buffalo Braves | Win | 123–106 | 3–0 | Won 3 |
| Wed, Oct 20, 1971 | @ Atlanta Hawks | Win | 126–104 | 4–0 | Won 4 |
| Fri, Oct 22, 1971 | Chicago Bulls | Loss | 106–113 | 4–1 | Lost 1 |
| Sun, Oct 24, 1971 | @ Houston Rockets | Win | 113–103 | 5–1 | Won 1 |
| Fri, Oct 29, 1971 | Cincinnati Royals | Win | 119–107 | 6–1 | Won 2 |
| Sat, Oct 30, 1971 | @ Seattle SuperSonics | Loss | 106–115 | 6–2 | Lost 1 |
| Sun, Oct 31, 1971 | Golden State Warriors | Loss | 105–109 | 6–3 | Lost 2 |
