# Major Stock Exchanges by Country (Selected Global List)

| Country | Exchange (Official Name) | Common Abbreviation | Primary City | Region | Notes |
| --- | --- | --- | --- | --- | --- |
| United States | New York Stock Exchange | NYSE | New York | North America | Part of Intercontinental Exchange group |
| United States | Nasdaq Stock Market | NASDAQ | New York | North America | Major electronic equity market |
| Canada | Toronto Stock Exchange | TSX | Toronto | North America | Main senior equities exchange in Canada |
| Mexico | Mexican Stock Exchange | BMV | Mexico City | North America | Also known as Bolsa Mexicana de Valores |
| United Kingdom | London Stock Exchange | LSE | London | Europe | Flagship UK equities market |
| Germany | Frankfurt Stock Exchange | FWB | Frankfurt | Europe | Operated by Deutsche Börse |
| France | Euronext Paris | ENX | Paris | Europe | Euronext venue for French listings |
| Japan | Tokyo Stock Exchange | TSE | Tokyo | Asia-Pacific | Part of Japan Exchange Group |
| China | Shanghai Stock Exchange | SSE | Shanghai | Asia-Pacific | Mainland China A-shares market |
| Hong Kong (China) | Hong Kong Stock Exchange | HKEX | Hong Kong | Asia-Pacific | Operated by Hong Kong Exchanges and Clearing |
| India | National Stock Exchange of India | NSE | Mumbai | Asia-Pacific | Major Indian equities & derivatives exchange |
| Australia | Australian Securities Exchange | ASX | Sydney | Asia-Pacific | Primary Australian securities exchange |
