# List of companies listed on the Singapore Exchange
> SGX mainboard listing

| Full name | Incorporated | ISIN Code | Listed |
| --- | --- | --- | --- |
| Hai Leck Holdings Limited | Singapore | SG1X27941084 | 28 August 2008 |
| Haw Par Corporation Limited | Singapore | SG1D25001158 | 17 November 1969 |
| Health Management International Ltd | Singapore | SG1H18874567 | 15 October 1999 |
| Heeton Holdings Limited | Singapore | SG1O44912994 | 31 August 2007 |
| Heng Long International Ltd | Singapore | SG1X11940704 | 9 July 2008 |
| Hengxin Technology Ltd | Singapore | SG1T38930320 | 11 May 2006 |
| Hersing Corporation Ltd | Singapore | SG1F79860358 | 10 July 2000 |
| HG Metal Manufacturing Ltd | Singapore | SG1M22901755 | 7 May 2004 |
| Hi-P International Limited | Singapore | SG1O83915098 | 17 December 2003 |
| Hiap Hoe Limited | Singapore | SG1U37933462 | 30 May 2007 |
| Hiap Seng Engineering Limited | Singapore | SG1G69871497 | 26 November 2001 |
| Hisaka Holdings Ltd | Singapore | SG1W81939983 | 8 May 2008 |
| HL Global Enterprises Limited | Singapore | SG1E19001288 | 10 October 1984 |
| HLH Group Limited | Singapore | SG1I70883703 | 21 June 2000 |
| HLN Technologies Limited | Singapore | SG1S49927944 | 22 January 2008 |
| Ho Bee Investment Ltd | Singapore | SG1H41875896 | 2 December 1999 |
| Hock Lian Seng Holdings Limited | Singapore | SG1Z21951640 | 21 December 2009 |
| Hoe Leong Corporation Ltd | Singapore | SG1S47927920 | 5 December 2005 |
| Hong Fok Corporation Ltd | Singapore | SG1J14885763 | 8 July 1981 |
| Hong Leong Asia Ltd | Singapore | SG1F76860344 | 6 March 1998 |
| Hong Leong Finance Limited | Singapore | SG1M04001939 | 10 July 1981 |
| Hongguo International Holdings Limited | Bermuda | BMG458401087 | 5 June 2003 |
| Hongkong Land Holdings Limited | Bermuda | BMG4587L1090 | 1 October 1990 |
| Hongwei Technologies Limited | Bermuda | BMG459411044 | 24 October 2005 |
| Hor Kew Corporation Ltd | Singapore | SG1I37881659 | 14 April 2000 |
| Hotel Grand Central Ltd | Singapore | SG1J41888780 | 24 November 1978 |
| Hotel Properties Limited | Singapore | SG2P14002527 | 17 June 1982 |
| Hotel Royal Limited | Singapore | SG1P12002132 | 2 December 1968 |
| Hotung Investment Holdings Limited | Bermuda | BMG4612P1095 | 11 August 1997 |
| Hsu Fu Chi International Limited | Others | KYG4640R1011 | 1 December 2006 |
| HTL International Holdings Limited | Singapore | SG1A48000743 | 27 September 1993 |
| Huan Hsin Holdings Limited | Singapore | SG1E67853093 | 11 June 1997 |
| HupSteel Limited | Singapore | SG1A77000903 | 4 February 1994 |
| Hwa Hong Corporation Limited | Singapore | SG1H85877246 | 26 July 1979 |
| Hyflux Limited | Singapore | SG1J47889782 | 14 April 2003 |
| Hyflux Water Trust | Singapore | SG1W34938926 | 3 December 2007 |
