# Parallel Book Names Across Bible Versions (Wisdom, Prophets & Deuterocanon Highlights)

| Category | Common English (Protestant/Modern) | Septuagint (Greek) | Latin Vulgate | Douay–Rheims / Catholic English | Notes |
| --- | --- | --- | --- | --- | --- |
| Wisdom | Job | Iob | Iob | Job | — |
| Wisdom | Psalms | Psalmoi | Psalmi | Psalms | — |
| Wisdom | Proverbs | Paroimiai | Proverbia | Proverbs | — |
| Wisdom | Ecclesiastes | Ekklesiastes | Ecclesiastes | Ecclesiastes | — |
| Wisdom | Song of Solomon | Asma Asmaton | Canticum Canticorum | Canticle of Canticles | Alternate English title in Catholic tradition |
| Major Prophets | Isaiah | Esaias | Isaias | Isaias | “Isaias” common in older Catholic English |
| Major Prophets | Jeremiah | Ieremias | Ieremias | Jeremias | Slight spelling variation |
| Major Prophets | Lamentations | Threnoi | Lamentationes | Lamentations | — |
| Major Prophets | Ezekiel | Iezekiel | Ezechiel | Ezechiel | — |
| Major Prophets | Daniel | Daniel | Daniel | Daniel | — |
| Deuterocanon | — (not in most Protestant OT) | Tobit | Tobiae | Tobias | Present in Catholic/Orthodox canons |
| Deuterocanon | — (not in most Protestant OT) | Judith | Iudith | Judith | Present in Catholic/Orthodox canons |
| Deuterocanon | — (not in most Protestant OT) | Wisdom of Solomon | Sapientia | Wisdom | Naming differs across editions |
