# Apple iPhone 5S Online Price Comparison (Flipkart vs Amazon) by Variant and Condition

| iPhone 5S Variant (Color / Storage) | Condition | Flipkart Price (INR) | Amazon Price (INR) | Availability Note |
| --- | --- | ---: | ---: | --- |
| Gold / 16 GB | New | 25990 | 26999 | Both in stock |
| Silver / 16 GB | New | 25499 | 26249 | Limited stock on Amazon |
| Space Grey / 16 GB | New | 25749 | 26500 | Standard delivery |
| Gold / 32 GB | New | 28490 | 29990 | Flipkart offer price |
| Silver / 32 GB | New | 28990 | 30999 | Amazon sold by verified seller |
| Space Grey / 32 GB | New | 27999 | 29549 | Both in stock |
| Gold / 64 GB | New | 31490 | 32999 | Higher storage premium |
| Silver / 64 GB | New | 31990 | 33990 | Amazon price includes shipping |
| Space Grey / 64 GB | New | 30999 | 33499 | Flipkart lower than Amazon |
| Gold / 16 GB | Refurbished | 20999 | 21999 | Refurb grade A |
| Space Grey / 32 GB | Refurbished | 23999 | 24999 | Refurb grade B |
| Silver / 64 GB | Refurbished | 26999 | 27999 | Refurb with warranty |
