# List of ACE Inhibitors (Angiotensin-Converting Enzyme Inhibitors) — Brand and Generic Names

| Drug class | Brand name | Generic name | Notes |
| --- | --- | --- | --- |
| ACE inhibitors | Prinivil | lisinopril | Oral tablet |
| ACE inhibitors | Zestril | lisinopril | Same generic as Prinivil |
| ACE inhibitors | Vasotec | enalapril | Oral tablet |
| ACE inhibitors | Capoten | captopril | Oral tablet |
| ACE inhibitors | Accupril | quinapril | Oral tablet |
| ACE inhibitors | Altace | ramipril | Oral capsule |
| ACE inhibitors | Lotensin | benazepril | Oral tablet |
| ACE inhibitors | Monopril | fosinopril | Oral tablet |
| ACE inhibitors | Univasc | moexipril | Oral tablet |
| ACE inhibitors | Mavik | trandolapril | Oral capsule |
