# Drug–Drug Interactions Relevant to Prostatitis Antibiotics

| Antibiotic | Interacting drug/substance | Interaction mechanism | Clinical consequence | Recommended action |
| --- | --- | --- | --- | --- |
| Ciprofloxacin | Tizanidine | CYP1A2 inhibition | Profound hypotension/sedation | Avoid combination |
| Ciprofloxacin | Warfarin | Altered metabolism/PK | Increased INR/bleeding | Monitor INR closely |
| Levofloxacin | QT-prolonging agents (e.g., amiodarone) | Additive QT prolongation | Torsades risk | Avoid or monitor ECG |
| TMP-SMX | ACE inhibitors/ARBs | Additive potassium retention | Hyperkalemia | Monitor potassium |
| TMP-SMX | Methotrexate | Reduced clearance | Myelosuppression | Avoid or monitor CBC |
| Doxycycline | Antacids/iron | Chelation | Reduced absorption | Separate administration |
| Azithromycin | Other QT-prolongers | Additive effect | Arrhythmia risk | Review med list |
| Ceftriaxone | IV calcium solutions | Precipitation | Embolic risk | Avoid co-infusion |
| Gentamicin | Loop diuretics | Additive ototoxicity | Hearing loss risk | Avoid or monitor |
