# 2016 NFL Draft Big Board (All Positions) — Top Prospects Overview

| Overall Rank | Player | Position | School |
|---:|---|---|---|
| 1 | Laremy Tunsil | OT | Ole Miss |
| 2 | Joey Bosa | DE | Ohio State |
| 3 | Jalen Ramsey | CB | Florida State |
| 4 | Carson Wentz | QB | North Dakota State |
| 5 | Ezekiel Elliott | RB | Ohio State |
| 6 | DeForest Buckner | DT | Oregon |
| 7 | Ronnie Stanley | OT | Notre Dame |
| 8 | Myles Jack | LB | UCLA |
| 9 | Jared Goff | QB | California |
| 10 | Vernon Hargreaves III | CB | Florida |
