# Default Administrative Distance Values by Route Source (Full Protocol Names)

| Route Source / Protocol (Fully Spelled Out) | Default Administrative Distance | Notes |
| --- | ---: | --- |
| Directly connected interface | 0 | Best (most preferred) by default |
| Static route | 1 | Applies unless manually changed |
| Dynamic Mobile Network Routing (DMNR) | 3 | Default value used by Cisco IOS |
| Enhanced Interior Gateway Routing Protocol (EIGRP) summary route | 5 | Summary generated by EIGRP |
| Border Gateway Protocol (BGP) external | 20 | External BGP-learned routes |
| Enhanced Interior Gateway Routing Protocol (EIGRP) internal | 90 | Routes learned within EIGRP AS |
| Interior Gateway Routing Protocol (IGRP) | 100 | Legacy Cisco distance |
| Open Shortest Path First (OSPF) | 110 | Includes intra-area/inter-area by default |
| Intermediate System-to-Intermediate System (IS-IS) | 115 | ISO link-state IGP |
| Routing Information Protocol (RIP) | 120 | Distance-vector IGP |
| External Enhanced Interior Gateway Routing Protocol (EIGRP) | 170 | Routes redistributed into EIGRP |
| Border Gateway Protocol (BGP) internal | 200 | Internal BGP-learned routes |
