# Selected Oil & Gas Dividend Stocks (North America) — Ticker and Dividend Snapshot

| Company | Ticker | Exchange | Industry Segment | Dividend Frequency | Annual Dividend/Share (USD) | Dividend Yield (%) | Last Ex-Dividend Date |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Chevron Corporation | CVX | NYSE | Integrated | Quarterly | 6.52 | 4.1 | 2025-02-14 |
| Exxon Mobil Corporation | XOM | NYSE | Integrated | Quarterly | 3.84 | 3.4 | 2025-02-10 |
| ConocoPhillips | COP | NYSE | E&P | Quarterly | 3.12 | 3.2 | 2025-02-12 |
| Occidental Petroleum | OXY | NYSE | E&P | Quarterly | 0.88 | 1.3 | 2025-03-10 |
| EOG Resources, Inc. | EOG | NYSE | E&P | Quarterly | 3.64 | 3.0 | 2025-01-17 |
| Pioneer Natural Resources | PXD | NYSE | E&P | Quarterly | 5.60 | 2.8 | 2025-03-06 |
| Kinder Morgan, Inc. | KMI | NYSE | Midstream | Quarterly | 1.15 | 5.7 | 2025-01-30 |
| Williams Companies, Inc. | WMB | NYSE | Midstream | Quarterly | 1.92 | 5.1 | 2025-03-07 |
| ONEOK, Inc. | OKE | NYSE | Midstream | Quarterly | 3.82 | 4.9 | 2025-02-03 |
