# Deer-Resistance Ratings for Common Yard Plants (By Plant Type)

| Common Name | Latin Name | Plant Category | Deer-Resistance Rating |
| --- | --- | --- | --- |
| Eastern Red Cedar | Juniperus virginiana | Tree | High |
| Colorado Blue Spruce | Picea pungens | Tree | Medium |
| Witch Hazel | Hamamelis virginiana | Shrub | Medium |
| Inkberry Holly | Ilex glabra | Shrub | High |
| Blue Fescue | Festuca glauca | Ornamental Grass | High |
| Switchgrass | Panicum virgatum | Ornamental Grass | Medium |
| Bee Balm | Monarda didyma | Perennial | Medium |
| Peony | Paeonia lactiflora | Perennial | High |
| Foxglove | Digitalis purpurea | Biennial/Perennial | High |
| Snowdrop | Galanthus nivalis | Bulb | Very High |
