# List of Japanese films of 1965
> Box - office ranking

| Title | Director | Cast | Genre | Notes |
| --- | --- | --- | --- | --- |
| 13 Assassins | Kudo, Eiichi Eiichi Kudo | Chiezo Kataoka , Kanjuro Arashi | Action | [1] |
| An Actor's Revenge | Ichikawa, Kon Kon Ichikawa | Kazuo Hasegawa , Fujiko Yamamoto , Ayako Wakao | Drama | [2] |
| Akumyō Ichiba | N/A | N/A | N/A | [ citation needed ] |
| Akumyō Hatoba | N/A | N/A | N/A | [ citation needed ] |
| Akumyō Ichiban | N/A | N/A | N/A | [ citation needed ] |
| Alone on the Pacific | Ichikawa, Kon Kon Ichikawa | Yujiro Ishihara , Shiro Osaka , Ruriko Asaoka | Adventure | [3] |
| Ano ko ni kofuku o | Kawasaki, Tetsuhiro Tetsuhiro Kawasaki | Kenji Mine , Mie Hama , Hiroko Minami | Comedy | [4] |
| Attack Squadron! | Matsubayashi, Shue Shue Matsubayashi | Toshiro Mifune , Yuzo Kayama , Yosuke Natsuki | N/A | [5] |
| Atragon | Honda, Ishirō Ishirō Honda | Tadao Takashima , Yu Fujiki , Jun Tazaki | Science fiction | [6] |
| Bad Girl | Urayama, Kirio Kirio Urayama | N/A | N/A | [7] |
| Bastard ! The Bastard | Suzuki, Seijun Seijun Suzuki | Ken Yamanouchi , Masako Isumi , Hiharu Kuri | Crime | [8] [9] |
| Bushido, Samurai Saga | Imai, Tadashi Tadashi Imai | Yoshiko Mita , Kyoko Kishida , Ineko Arima | Action | [10] |
| Children Hand in Hand | Hani, Susumu Susumu Hani | N/A | Drama | [11] |
| Daisan no Akumyō | N/A | N/A | N/A | [ citation needed ] |
| Detective Bureau 23: Go to Hell, Bastards! | Suzuki, Seijun Seijun Suzuki | Joe Shishido , Reiko Sasamori , Nobuo Kaneko | Crime | [12] |
| Fee Diabolique ! La Fee Diabolique | Onchi, Hideo Hideo Onchi | Reiko Dan , Akira Kubo , Taro | Drama | [13] |
| Hai hai 3 nin musume | Saeki, Kozo Kozo Saeki | Mie Nakao , Mari Sono , Yukari Ito | Musical comedy | [13] |
| High and Low | Kurosawa, Akira Akira Kurosawa | Toshirō Mifune , Tatsuya Nakadai , Kyoko Kagawa | Drama | [13] [14] |
| Insect Woman ! The Insect Woman | Imamura, Shohei Shohei Imamura | Sachiko Hidari , Jitsuko Yoshimura , Hiroyuki Nagato | Comedy drama | [15] |
| Kanto Wanderer | Suzuki, Seijun Seijun Suzuki | Akira Kobayashi | Crime | [16] |
| Kawachi udoki-Oiroke hanjoki | Saeki, Kozo Kozo Saeki | Frankie Sakai , Eitaro Shindo , Junko Ikeuchi | N/A | [4] |
| Kigeki Tonkatsu ichidai | Kawashima, Yuzo Yuzo Kawashima | Hisaya Morishige , Chikage Awashima , Reiko Dan | N/A | [4] |
| Kureejii sakusen-Sentei hissho | Hisamatsu, Seiji Seiji Hisamatsu | The Crazy Cats , Junko Ikeuchi , Mie Nakao | Comedy | [14] |
| Legacy of the 500,000 | Mifune, Toshirō Toshirō Mifune | Toshirō Mifune , Tatsuya Mihashi , Tsutomu Yamazaki | Adventure | [4] |
| Lost World of Sinbad ! The Lost World of Sinbad | Taniguchi, Senkichi Senkichi Taniguchi | Toshirô Mifune , Tadao Nakamaru , Mie Hama | Action, adventure, fantasy | [17] |
| Matango | Honda, Ishirō Ishirō Honda | Akira Kubo , Kumi Mizuno , Kenji Sahara | Horror | [18] |
| New Tale of Zatoichi | Tanaka, Tokuzo Tokuzo Tanaka | Shintaro Katsu , Mikiko Tsubouchi , Seizaburo Kawazu | N/A | [19] [20] |
| Onna ni tsuyokunaru kuhu no kazukazu | Chiba, Yasuki Yasuki Chiba | Akira Takarada , Tadao Takashima , Hitoshi Ueki | N/A | [13] |
| Pressure of Guilt | Horikawa, Hiromichi Hiromichi Horikawa | Keiju Kobayashi , Tatsuya Nakadai , Chikage Awashima | Drama | [14] [4] |
| Sarariiman muteppo ikka | Kakei, Masanori Masanori Kakei | Daisuke Kato , Mie Hama , Yumi Shirakawa | N/A | [13] |
| Sensation Seekers | Fukuda, Jun Jun Fukuda | Tadao Takashima , Jun Ikeuchi , Mie Hama | N/A | [13] |
| Shacho gaiyuki | Matsubayashi, Shue Shue Matsubayashi | Hisaya Morishige , Keiju Kobayashi , Norihei Miki | Comedy | [4] |
| She and He | Hani, Susumu Susumu Hani | Sachiko Hidari , Eiji Okada , Kikuji Yamashita | Drama | [21] |
| Tokyo Orinppiku eno michi | N/A | Seigoro Kitade | Documentary | [13] |
| Tsuma toiu na no onna tachi | Kakei, Masanori Masanori Kakei | Yoko Tsukasa , Sachiko Hidari , Reiko Dan | N/A | [4] |
| Warring Clans | Okamoto, Kihachi Kihachi Okamoto | Yuzo Kayama , Makoto Sato , Yuriko Hoshi | Chambara | [14] |
| Women... Oh, Women! | Takechi, Tetsuji Tetsuji Takechi | N/A | Pink | [ citation needed ] |
| Youth of the Beast | Suzuki, Seijun Seijun Suzuki | Joe Shishido , Nobuo Kaneko , Tomio Aoki | Crime | [22] |
| Zoku Shacho manyuki | Sugie, Toshio Toshio Sugie | Hisaya Morishige , Keiju Kobayashi , Norihei Miki | Comedy | [14] |
| Zatoichi the Fugitive | Tanaka, Tokuzo Tokuzo Tanaka | Shintaro Katsu , Miwa Takada , Masayao Banri | N/A | [23] |
| Zatoichi on the Road | Yasuda, Kimiyoshi Kimiyoshi Yasuda | Shintaro Katsu , Shiho Fujimura , Ryuzo Shimada | N/A | [24] [25] [26] |
| Rank | Title | Director | Cast | Box office |
| 1 | Red Beard | Akira Kurosawa | Toshiro Mifune | ¥3.6 hundred million |
| 2 | Abashiri Prison 4 | Teruo Ishii | Ken Takakura | ¥2.9 hundred million |
| 3 | Kantō Hatashijō | Shigehiro Ozawa | Kōji Tsuruta | ¥2.5 hundred million |
| 4 | Abashiri Prison 3 | Teruo Ishii | Ken Takakura | ¥2.4 hundred million |
| 5 | Nihon Kyōkaku den 3 | Masahiro Makino | Ken Takakura | ¥2.4 hundred million |
