# MacBook Pro model identifiers (comma-style) mapped to Apple model numbers (Touch Bar & Apple silicon era selection)

| Category | Concrete model name (one per row) | Model identifier (comma-style) | Model number(s) |
| --- | --- | --- | --- |
| MacBook Pro | MacBook Pro (13-inch, 2016, Two Thunderbolt 3 ports) | MacBookPro13,1 | MLH12xx/A, MLVP2xx/A |
| MacBook Pro | MacBook Pro (13-inch, 2016, Four Thunderbolt 3 ports) | MacBookPro13,2 | MLH42xx/A, MNQF2xx/A |
| MacBook Pro | MacBook Pro (15-inch, 2016) | MacBookPro13,3 | MLW72xx/A, MNQJ2xx/A |
| MacBook Pro | MacBook Pro (13-inch, 2017, Two Thunderbolt 3 ports) | MacBookPro14,1 | MPXQ2xx/A, MPXR2xx/A |
| MacBook Pro | MacBook Pro (13-inch, 2017, Four Thunderbolt 3 ports) | MacBookPro14,2 | MPXV2xx/A, MPXX2xx/A |
| MacBook Pro | MacBook Pro (15-inch, 2017) | MacBookPro14,3 | MPTT2xx/A, MPTU2xx/A |
| MacBook Pro | MacBook Pro (13-inch, 2018, Four Thunderbolt 3 ports) | MacBookPro15,2 | MR9Q2xx/A, MR9R2xx/A |
| MacBook Pro | MacBook Pro (15-inch, 2018) | MacBookPro15,1 | MR932xx/A, MR942xx/A |
| MacBook Pro | MacBook Pro (16-inch, 2019) | MacBookPro16,1 | MVVJ2xx/A, MVVK2xx/A |
| MacBook Pro | MacBook Pro (13-inch, M1, 2020) | MacBookPro17,1 | MYD82xx/A, MYDC2xx/A |
