# Xbox 360 Multiplayer-Focused Game List (System Link   Online   Co-op Details)

| Game title | Genre | Local co-op | Split-screen | System Link players (max) | Online players (max) | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Call of Duty 2 | FPS | No | Yes | 16 | 8 | Competitive multiplayer focus |
| Call of Duty 3 | FPS | No | Yes | 24 | 16 | Includes vehicle maps |
| Brutal Legend | Action | Yes | No | 8 | 8 | Multiplayer mode supports teams |
| Borderlands: The Pre-Sequel! | Action RPG / Shooter | Yes | Yes | 4 | 4 | Co-op campaign supported |
| Halo 3 | FPS | Yes | Yes | 16 | 16 | Forge/custom games available |
| Gears of War 2 | Third-person shooter | Yes | Yes | 10 | 10 | Horde mode supports co-op |
| Left 4 Dead 2 | Co-op shooter | Yes | Yes | 8 | 8 | Versus and campaign co-op |
| Forza Motorsport 3 | Racing | No | Yes | 8 | 8 | Split-screen supported |
| Minecraft: Xbox 360 Edition | Sandbox | Yes | Yes | 8 | 8 | Local/online multiplayer |
| Castle Crashers | Beat 'em up | Yes | No | 4 | 4 | Xbox Live Arcade title |
