# 2010 NBA draft
> Notable undrafted players

| Player | Position | Nationality | School/club team |
| --- | --- | --- | --- |
| Christopher, Patrick Patrick Christopher | SG/SF | United States | California (Sr.) |
| Collins, Sherron Sherron Collins | PG | United States | Kansas (Sr.) |
| Datome, Luigi Luigi Datome | F | Italy | Virtus Roma ( Italy ) |
| Dyson, Jerome Jerome Dyson | G | United States | Connecticut (Jr.) |
| Fortson, Courtney Courtney Fortson | PG | United States | Arkansas (Sr.) |
| Foote, Jeff Jeff Foote | C | United States | Cornell (Sr.) |
| Harris, Manny Manny Harris | PG/SG | United States | Michigan (Jr.) |
| Lin, Jeremy Jeremy Lin | PG | United States | Harvard (Sr.) |
| Marjanović, Boban Boban Marjanović | C | Serbia | KK Hemofarm ( Serbia ) |
| Millsap, Elijah Elijah Millsap | SG/SF | United States | UAB (Sr.) |
| Ohlbrecht, Tim Tim Ohlbrecht | PF/C | Germany | Brose Baskets ( Germany ) |
| Onuaku, Arinze Arinze Onuaku | PF/C | United States | Syracuse (Sr.) |
| Raduljica, Miroslav Miroslav Raduljica | C | Serbia | Efes Pilsen ( Turkey ) |
| Samuels, Samardo Samardo Samuels | PF/C | Jamaica | Louisville (So.) |
| Shved, Alexey Alexey Shved | PG/SG | Russia | CSKA Moscow ( Russia ) |
| Sloan, Donald Donald Sloan | PG | United States | Texas A&M (Sr.) |
| Smith, Ishmael Ishmael Smith | G | United States | Wake Forest (Sr.) |
| Smith, Jerry Jerry Smith | G | United States | Louisville (Sr.) |
| Thomas, Lance Lance Thomas | PF | United States | Duke (Sr.) |
| Uzoh, Ben Ben Uzoh | PG | United States Nigeria | Tulsa (Sr.) |
