# MCPE   Bedrock Pocket Edition Servers (IP Port List)

| Rank | Server Name | Platform | Game Type | Address (IP:Port) |
|---:|---|---|---|---|
| 1 | PocketSurvival | MCPE/Bedrock | Survival | 51.79.12.44:19132 |
| 2 | BedrockHaven | MCPE/Bedrock | Vanilla-ish | 104.238.221.17:19132 |
| 3 | PE Craftlands | MCPE/Bedrock | Survival | 172.96.164.55:19132 |
| 4 | MobileMiner | MCPE/Bedrock | Economy | 147.135.8.90:19132 |
| 5 | PocketRealm | MCPE/Bedrock | SMP | 209.126.6.33:19132 |
| 6 | BedrockVillage | MCPE/Bedrock | Survival | 45.35.98.21:19132 |
| 7 | PE SkyGrid | MCPE/Bedrock | SkyGrid | 66.70.180.12:19132 |
| 8 | BedrockPVP | MCPE/Bedrock | PvP | 94.130.12.87:19132 |
| 9 | PocketBuilders | MCPE/Bedrock | Creative | 51.222.152.19:19132 |
| 10 | MobileSMP | MCPE/Bedrock | SMP | 135.148.34.10:19132 |
| 11 | PE Survival Pro | MCPE/Bedrock | Survival | 5.9.80.77:19132 |
| 12 | BedrockQuest | MCPE/Bedrock | RPG | 193.70.73.28:19132 |
| 13 | PocketAnarchy | MCPE/Bedrock | Anarchy | 37.187.75.66:19132 |
| 14 | PE MinigameHub | MCPE/Bedrock | Minigames | 92.222.58.14:19132 |
| 15 | BedrockFriends | MCPE/Bedrock | Survival | 158.69.23.210:19132 |
| 16 | PocketNet | MCPE/Bedrock | Mixed | 176.31.122.93:19132 |
| 17 | PE Nations | MCPE/Bedrock | Nations | 185.38.150.9:19132 |
| 18 | BedrockSkyblock | MCPE/Bedrock | Skyblock | 51.81.48.91:19132 |
| 19 | PocketClassic | MCPE/Bedrock | Classic Survival | 23.111.174.67:19132 |
| 20 | BedrockTowny | MCPE/Bedrock | Towny | 139.99.125.4:19132 |
