# Decision-and-Diplomacy Timeline Toward the Hiroshima Bombing  High-Level Wartime Steps (1945)

| Date | Step (event) | Category |
|---|---|---|
| 4–11 Feb 1945 | Yalta Conference sets postwar planning and final-war coordination | Allied diplomacy
| 12 Apr 1945 | Harry S. Truman becomes U.S. president | Leadership change
| 8 May 1945 | Victory in Europe (Germany surrenders) | War milestone
| 16 Jul 1945 | Trinity nuclear test succeeds | Weapons development milestone
| 17 Jul–2 Aug 1945 | Potsdam Conference | Allied diplomacy
| 26 Jul 1945 | Potsdam Declaration demands Japanese surrender | Diplomatic ultimatum
| 28 Jul 1945 | Japan publicly rejects the Potsdam terms (mokusatsu) | Japanese government response
| 6 Aug 1945 | Hiroshima is bombed | Combat / strategic bombing
| 9 Aug 1945 | Nagasaki is bombed | Combat / strategic bombing
| 15 Aug 1945 | Emperor announces Japan’s acceptance of surrender | War termination step
| 2 Sep 1945 | Formal surrender is signed aboard USS Missouri | Formal conclusion |
