# WWE draft
> History

| Year | Brands | Summary |
| --- | --- | --- |
| 2002 | Raw SmackDown! | After acquiring World Championship Wrestling (WCW) and Extreme Championship Wrestling (ECW), the WWF split its roster into two distinctive wrestling brands, Raw and SmackDown!. WWF co-owners Ric Flair and Vince McMahon would draft superstars to Raw and SmackDown! respectively. The Rock was acquired by SmackDown! as the first overall pick, and The Undertaker was acquired by Raw as its first pick in the draft. Stone Cold Steve Austin was allowed to choose which show he wanted to be on. |
| 2004 | Raw SmackDown! | To remain active with the WrestleMania XX tagline of "Where it all begins again", WWE Chairman Vince McMahon announced a draft lottery, as he stated it was time for a "new WWE" and "it's time to shake things up again". Each general manager received six picks. |
| 2005 | Raw SmackDown! | Unlike previous draft lotteries which occurred on one night, this draft lottery took place over the month of June. Each general manager received five random picks. During the draft, SmackDown! was left without a world champion after Raw drafted John Cena , who at the time held the WWE World Championship . Plans to create a separate SmackDown! world championship were abandoned when Smackdown! acquired Batista from Raw, who at the time held the World Heavyweight Championship . |
| 2006 | ECW | There was no official draft in 2006. But as part of the launch of the ECW brand, [4] WWE allowed ECW representative Paul Heyman to draft one superstar from each of the Raw and SmackDown! brands. |
| 2007 | Raw SmackDown! ECW | Was the first ever tri-branded draft lottery, where all three of WWE's brands took part in the draft. Unlike previous drafts where the general managers were able to randomly select their draftee, matches took place between representatives of each brand and the winner received a draft pick. The draft took place on June 11 on a special three-hour episode of Raw . |
| 2008 | Raw SmackDown ECW | Was the second consecutive draft where draft picks were determined by matches. During the draft, three championships switched brands due to the champions switching brands. The draft took place on June 23 on a special three-hour episode of Raw . |
| 2009 | Raw SmackDown ECW | The 2009 draft took place on the April 13, 2009 edition of WWE Raw [5] and consisted of tri-branded matches with the winner of the match's brand earning a pick. A total of 12 wrestlers were drafted on television. A supplemental draft was held at April 15, in which a total of 24 wrestlers were drafted. [6] |
| 2010 | Raw SmackDown | The Richmond Coliseum confirmed that it would serve as the venue for the 2010 WWE draft, which was held live during an episode of Raw on April 26, 2010. [7] The draft consisted of interpromotional matches with the winner of the match's brand earning a pick. A total of 8 wrestlers were drafted on television. A supplemental draft was held on April 27, in which a total of 13 wrestlers were drafted. [8] It was also the first draft without ECW after its cancellation. [9] |
| 2011 | Raw SmackDown | On April 18, WWE, USA Network, and the RBC Center confirmed the 2011 draft to take place on April 25 from Raleigh, North Carolina . [10] The draft consisted of interpromotional matches with the winner of the match's brand earning a pick. A total of 8 superstars were drafted on television. A total of 22 more wrestlers were selected in supplemental draft the following day, as WWE.com updated the site with every pick. This was the final draft occurring under the brand extension of 2002. [1] |
| 2016 | Raw SmackDown | On May 25, it was announced that the main roster would once again be divided with SmackDown moving to a live broadcast on Tuesdays, starting July 19. It was later confirmed that the WWE draft would be taking place on the live SmackDown on July 19, which will also be the first time SmackDown has held the supplemental WWE draft event, and that 6 current NXT Superstars can be 'drafted' (thus promoted) in the main rosters (except current NXT Champions). [11] |
