# 1988 NBA draft
> Draft

| Round | Pick | Player | Position | Nationality [n 1] | Team | School/club team |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | 1 | Manning, Danny Danny Manning + | PF | United States | Los Angeles Clippers | Kansas (Sr.) |
| 1 | 2 | Smits, Rik Rik Smits + | C | Netherlands | Indiana Pacers | Marist (Sr.) |
| 1 | 3 | Smith, Charles Charles Smith | PF | United States | Philadelphia 76ers (traded to L.A. Clippers ) | Pittsburgh (Sr.) |
| 1 | 4 | Morris, Chris Chris Morris | SF | United States | New Jersey Nets | Auburn (Sr.) |
| 1 | 5 | Richmond, Mitch Mitch Richmond ^ | SG | United States | Golden State Warriors | Kansas State (Sr.) |
| 1 | 6 | Hawkins, Hersey Hersey Hawkins + | SG | United States | Los Angeles Clippers (from Sacramento , traded to Philadelphia ) | Bradley (Sr.) |
| 1 | 7 | Perry, Tim Tim Perry | F | United States | Phoenix Suns | Temple (Sr.) |
| 1 | 8 | Chapman, Rex Rex Chapman | SG | United States | Charlotte Hornets | Kentucky ( So. ) |
| 1 | 9 | Seikaly, Rony Rony Seikaly | C | Lebanon | Miami Heat | Syracuse (Sr.) |
| 1 | 10 | Anderson, Willie Willie Anderson | SG | United States | San Antonio Spurs | Georgia (Sr.) |
| 1 | 11 | Perdue, Will Will Perdue | C | United States | Chicago Bulls (from New York ) | Vanderbilt (Sr.) |
| 1 | 12 | Grant, Harvey Harvey Grant | SF | United States | Washington Bullets | Oklahoma (Sr.) |
| 1 | 13 | Grayer, Jeff Jeff Grayer | PG | United States | Milwaukee Bucks | Iowa State (Sr.) |
| 1 | 14 | Majerle, Dan Dan Majerle + | SF | United States | Phoenix Suns (from Cleveland ) | Central Michigan (Sr.) |
| 1 | 15 | Grant, Gary Gary Grant | PG | United States | Seattle SuperSonics | Michigan (Sr.) |
| 1 | 16 | Chievous, Derrick Derrick Chievous | SG | United States | Houston Rockets | Missouri (Sr.) |
| 1 | 17 | Leckner, Eric Eric Leckner | C | United States | Utah Jazz | Wyoming (Sr.) |
| 1 | 18 | Berry, Ricky Ricky Berry | SG | United States | Sacramento Kings (from Atlanta ) | San Jose State (Sr.) |
| 1 | 19 | Strickland, Rod Rod Strickland x | PG | United States | New York Knicks (from Chicago ) | DePaul (Jr.) |
| 1 | 20 | Edwards, Kevin Kevin Edwards | SG | United States | Miami Heat (from Dallas ) [a] | DePaul (Sr.) |
| 1 | 21 | Bryant, Mark Mark Bryant | PF | United States | Portland Trail Blazers | Seton Hall (Sr.) |
| 1 | 22 | Keys, Randolph Randolph Keys | SF | United States | Cleveland Cavaliers (from Detroit via Phoenix ) | Southern Miss (Sr.) |
| 1 | 23 | Lane, Jerome Jerome Lane | PF | United States | Denver Nuggets | Pittsburgh (Jr.) |
| 1 | 24 | Shaw, Brian Brian Shaw | SG | United States | Boston Celtics | UC Santa Barbara (Sr.) |
