# California ZIP Codes by Region and County (Nested Listing)

| Region | County | Common City | ZIP Code | ZIP Type |
|---|---|---|---|---|
| Southern California | Los Angeles County | Los Angeles | 90001 | Standard |
| Southern California | Los Angeles County | Beverly Hills | 90210 | Standard |
| Southern California | Orange County | Santa Ana | 92701 | Standard |
| Southern California | San Diego County | San Diego | 92101 | Standard |
| Central Coast | Santa Clara County | San Jose | 95110 | Standard |
| Bay Area | San Francisco County | San Francisco | 94102 | Standard |
| Bay Area | Alameda County | Oakland | 94607 | Standard |
| Northern California | Sacramento County | Sacramento | 95814 | Standard |
| Northern California | Shasta County | Redding | 96001 | Standard |
| Sierra Nevada | Nevada County | Grass Valley | 95945 | Standard |
