# House System Cheat Sheet  Meanings of the 12 Houses (General Interpretations)

| House | Life Area | Ruling Sign (Natural) | Key Topics | Common Keywords |
|---|---|---|---|---|
| 1st | Self & identity | Aries | appearance, approach | persona, body |
| 2nd | Resources | Taurus | money, values | possessions, security |
| 3rd | Communication | Gemini | learning, siblings | speech, short trips |
| 4th | Home | Cancer | roots, family | private life, ancestry |
| 5th | Creativity | Leo | romance, children | joy, performance |
| 6th | Work & health | Virgo | routines, service | habits, wellness |
| 7th | Partnerships | Libra | marriage, contracts | one-to-one, balance |
| 8th | Shared matters | Scorpio | intimacy, debts | transformation, taboo |
| 9th | Beliefs | Sagittarius | travel, philosophy | higher learning, law |
| 10th | Career | Capricorn | status, reputation | vocation, authority |
| 11th | Community | Aquarius | friends, groups | networks, ideals |
| 12th | Inner world | Pisces | solitude, subconscious | dreams, release |
