# Top Employers Hiring Economics Graduates (Selected Firms and Agencies)

| Category | Organization | Typical Hiring Channel | Notes |
|---|---|---|---|
| Consulting | McKinsey & Company | Campus recruiting | Generalist pipelines for business analysts |
| Consulting | Boston Consulting Group (BCG) | Campus recruiting | Often recruits quantitative majors |
| Consulting | Bain & Company | Campus recruiting | Strategy consulting focus |
| Finance | Goldman Sachs | Online portal | Competitive analyst programs |
| Finance | JPMorgan Chase & Co. | Online portal | Large rotational programs |
| Tech | Amazon | Online portal | Business roles across operations |
| Tech | Google | Online portal | Economic research & ads measurement orgs |
| Government | U.S. Bureau of Labor Statistics | USAJOBS | Public-sector data and reporting |
| Government | World Bank | Internship programs | International development focus |
| Research | RAND Corporation | Direct applications | Policy-oriented research |
| Research | National Bureau of Economic Research (NBER) | Direct applications | Academic research network |
| Nonprofit | International Monetary Fund (IMF) | Graduate programs | Macro and development focus |
