# Supreme Court of Texas — Selected Justices and the Governors Who Appointed Them

| Justice | Court Role | First Appointed (Year) | Appointing Authority (Full Name) | Subsequent Path |
|---|---|---:|---|---|
| Nathan L. Hecht | Chief Justice | 1988 | William P. Clements Jr. | Later retained/elected statewide |
| John P. Devine | Associate Justice | 2012 | Rick Perry | Later won election to continue service |
| Eva M. Guzman | Associate Justice | 2009 | Rick Perry | Later elected to a full term |
| Jeff Boyd | Associate Justice | 2012 | Rick Perry | Later elected statewide |
| Jimmy Blacklock | Associate Justice | 2017 | Greg Abbott | Later elected statewide |
| Brett Busby | Associate Justice | 2019 | Greg Abbott | Later elected statewide |
| Rebeca A. Huddle | Associate Justice | 2020 | Greg Abbott | Later elected statewide |
| Evan A. Young | Associate Justice | 2021 | Greg Abbott | Later elected statewide |
| Jane N. Bland | Associate Justice | 2019 | Greg Abbott | Later elected statewide |
