# National Football League Rookie of the Year Award
> Sporting News NFL ROTY Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 1960 | Haynes, Abner Abner Haynes | Dallas Texans | Halfback |
| 1961 | Faison, Earl Earl Faison | San Diego Chargers | Defensive end |
| 1962 | McClinton, Curtis Curtis McClinton | Dallas Texans | Fullback |
| 1963 | Joe, Billy Billy Joe | Denver Broncos | Fullback |
| 1964 | Snell, Matt Matt Snell | New York Jets | Fullback |
| 1965 | Namath, Joe Joe Namath | New York Jets | Quarterback |
| 1966 | Burnett, Bobby Bobby Burnett | Buffalo Bills | Halfback |
| 1967 | Post, Dickie Dickie Post | San Diego Chargers | Halfback |
| 1968 | Robinson, Paul Paul Robinson | Cincinnati Bengals | Running back |
| 1969 | Garrett, Carl Carl Garrett | Boston Patriots | Halfback |
