# American Chess Congress
> 7 th American Chess Congress ( 1904 )

|  | Player | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 0 | Total |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Frank James Marshall ( USA ) | x | 1 | 1 | 1 | 1 | 1 | 1 | 1 | ½ | 1 | 8½ |
| 2 | Max Judd ( USA ) | 0 | x | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 7 |
| 3 | Louis Uedemann ( USA ) | 0 | 1 | x | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 6 |
| 4 | Emil Kemény ( USA ) | 0 | 0 | 0 | x | 1 | 1 | 1 | 0 | 1 | 1 | 5 |
| 5 | Edward F. Schrader ( USA ) | 0 | 0 | 0 | 0 | x | ½ | 1 | 1 | 1 | 1 | 4½ |
| 6 | Louis Eisenberg ( USA ) | 0 | 0 | 0 | 0 | ½ | x | 1 | 1 | 1 | 1 | 4½ |
| 7 | Charles Jaffe ( USA ) | 0 | 0 | 1 | 0 | 0 | 0 | x | 1 | 1 | 1 | 4 |
| 8 | George Schwietzer ( USA ) | 0 | 0 | 1 | 1 | 0 | 0 | 0 | x | 0 | 1 | 3 |
| 9 | Stasch Mlotkowski ( USA ) | ½ | 0 | 0 | 0 | 0 | 0 | 0 | 1 | x | 1 | 2½ |
| 10 | Eugene W. Schrader ( USA ) | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | x | 0 |
