# Central Air Conditioner Price List by Brand and Series (Condenser + Matching Evaporator Coil)

| Brand | Condenser Series / Model Example | Matching Evaporator Coil (Example) | Cooling Capacity (Tons) | Efficiency (SEER2) | Equipment Only (USD) | Installed Price (Condenser + Coil) (USD) |
| --- | --- | --- | --- | --- | --- | --- |
| Trane | XR14 (4TTR4) | 4TXCB Coils | 3.0 | 14.3 | $1,980 | $3,980 |
| American Standard | Silver 14 (4A7A4) | 4TXCB Coils | 3.0 | 14.3 | $2,020 | $4,050 |
| Carrier | Comfort 24SCA5 | CNPVP Coil | 3.0 | 14.5 | $1,850 | $3,850 |
| Bryant | Legacy 114C | CNPVP Coil | 3.0 | 14.5 | $1,780 | $3,720 |
| Lennox | Merit ML14XC1 | CX35 Coil | 3.0 | 14.3 | $1,920 | $4,100 |
| Rheem | Classic RA14 | RCF Coil | 3.0 | 14.3 | $1,560 | $3,420 |
| Ruud | Achiever UA14 | RCF Coil | 3.0 | 14.3 | $1,540 | $3,380 |
| Goodman | GSXH5 (14.3 SEER2 class) | CAPF Coil | 3.0 | 14.3 | $1,250 | $2,950 |
| Amana | ASXH5 (14.3 SEER2 class) | CAPF Coil | 3.0 | 14.3 | $1,390 | $3,150 |
