# State-by-State Felony Sentencing Overview (Felony Class Examples and Maximum Penalties)

| State | Felony class / degree (illustrative) | Example felony charge | Maximum incarceration | Maximum fine | Source/authority (high-level) |
| --- | --- | --- | --- | --- | --- |
| Oregon | Class A felony | First-degree assault | 20 years | $375,000 | State criminal code sentencing maximums |
| Oregon | Class B felony | Burglary in the first degree | 10 years | $250,000 | State criminal code sentencing maximums |
| Oregon | Class C felony | Theft in the first degree | 5 years | $125,000 | State criminal code sentencing maximums |
| Ohio | Felony of the 1st degree | Aggravated robbery | Up to 11 years | Up to $20,000 | Ohio felony level grid (general maxima) |
| Ohio | Felony of the 2nd degree | Felonious assault | Up to 8 years | Up to $15,000 | Ohio felony level grid (general maxima) |
| Ohio | Felony of the 5th degree | Theft (lower-level felony) | Up to 12 months | Up to $2,500 | Ohio felony level grid (general maxima) |
| Texas | 1st-degree felony | Aggravated robbery | 5–99 years or life | Up to $10,000 | Texas felony degree framework |
| Texas | State jail felony | Theft (mid-range value) | 180 days–2 years (state jail) | Up to $10,000 | Texas felony degree framework |
| Georgia | Felony (drug) | Possession of Schedule I/II (1st offense) | 2–15 years | Fine possible (court/statute) | Georgia controlled substances penalties |
| New York | Class D felony | Grand larceny (lower tier) | Up to 7 years | Fine possible (court/statute) | New York penal law class system |
