# Most Subscribed YouTube Channels in Australia — Channel Accounts Only

| Australia rank | Channel name | Subscribers | Channel type | Owner / Operator |
| ---: | --- | ---: | --- | --- |
| 1 | HowToBasic | 7,520,000 | Comedy / Tutorials parody | HowToBasic |
| 2 | LazarBeam | 21,000,000 | Gaming | Lannan Eacott |
| 3 | Muselk | 9,600,000 | Gaming | Elliott Watkins |
| 4 | Jess No Limit | 2,900,000 | Entertainment | Jessica (creator brand) |
| 5 | Iggy Azalea | 4,240,000 | Music | Iggy Azalea / Team |
| 6 | Bounce Patrol | 6,100,000 | Kids / Music | Bounce Patrol Pty Ltd |
| 7 | RackaRacka | 7,100,000 | Comedy / Action | Danny & Michael Philippou |
| 8 | Natalie Tran (communitychannel) | 1,900,000 | Comedy | Natalie Tran |
| 9 | FluffeeTalks | 2,100,000 | Gaming / Commentary | FluffeeTalks |
| 10 | Superwog | 3,600,000 | Comedy | Theodore Saidden & Nathan Saidden |
| 11 | Primitive Technology | 11,000,000 | Education / Survival | John Plant |
| 12 | LaserUnicorns | 1,300,000 | Music / Comedy | LaserUnicorns |
| 13 | The Inspired Unemployed | 2,000,000 | Comedy | Australian creator group |
| 14 | CKN Toys | 17,000,000 | Kids / Toys | Family-run channel |
| 15 | DankPods | 1,900,000 | Tech / Audio | DankPods |
| 16 | PWR | 2,200,000 | Gaming / Esports | PWR (Australian org) |
