# Common Polyatomic Ions with Explicit Charge (Quick Cation vs Anion Identification)

| Ion (formula) | Ion name | Charge shown | Ion type | Notes |
| --- | --- | --- | --- | --- |
| NH4+ | Ammonium | +1 | Cation | Common polyatomic cation |
| H3O+ | Hydronium | +1 | Cation | Acidic aqueous solutions |
| OH− | Hydroxide | −1 | Anion | Present in bases |
| NO3− | Nitrate | −1 | Anion | Very common anion |
| NO2− | Nitrite | −1 | Anion | Related to nitrate |
| SO4^2− | Sulfate | −2 | Anion | Very common anion |
| SO3^2− | Sulfite | −2 | Anion | Less oxidized than sulfate |
| CO3^2− | Carbonate | −2 | Anion | Common in salts |
| PO4^3− | Phosphate | −3 | Anion | Common in salts |
| CN− | Cyanide | −1 | Anion | Strongly coordinating anion |
