# National Football League Rookie of the Year Award
> Pepsi NFL ROTY Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 2002 | Shockey, Jeremy Jeremy Shockey | New York Giants | Tight end |
| 2003 | Davis, Domanick Domanick Davis | Houston Texans | Running back |
| 2004 | Roethlisberger, Ben Ben Roethlisberger | Pittsburgh Steelers | Quarterback |
| 2005 | Williams, Cadillac Cadillac Williams | Tampa Bay Buccaneers | Running back |
| 2006 | Young, Vince Vince Young | Tennessee Titans | Quarterback |
| 2007 | Peterson, Adrian Adrian Peterson | Minnesota Vikings | Running back |
| 2008 | Flacco, Joe Joe Flacco | Baltimore Ravens | Quarterback |
| 2009 | Harvin, Percy Percy Harvin | Minnesota Vikings | Wide receiver |
| 2010 | Suh, Ndamukong Ndamukong Suh | Detroit Lions | Defensive tackle |
| 2011 | Newton, Cam Cam Newton | Carolina Panthers | Quarterback |
| 2012 | Wilson, Russell Russell Wilson | Seattle Seahawks | Quarterback |
| 2013 | Allen, Keenan Keenan Allen | San Diego Chargers | Wide receiver |
| 2014 | Bridgewater, Teddy Teddy Bridgewater [11] | Minnesota Vikings | Quarterback |
| 2015 | Winston, Jameis Jameis Winston | Tampa Bay Buccaneers | Quarterback |
