# Xbox 360 System Link (LAN) Multiplayer Games — Co-op & Versus Player Limits

| Title | Genre | System Link mode(s) | Total players (LAN) | Players per console | Split-screen | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Halo 3 | FPS | Versus | 16 | 4 | Yes | LAN matches across multiple consoles |
| Halo: Reach | FPS | Co-op, Versus | 16 | 4 | Yes | Co-op campaign and custom games via LAN |
| Gears of War | Shooter | Co-op, Versus | 8 | 2 | Yes | Campaign co-op supported over System Link |
| Gears of War 2 | Shooter | Co-op, Versus | 10 | 2 | Yes | Horde/Versus supported on LAN |
| Forza Motorsport 2 | Racing | Versus | 16 | 1 | No | LAN racing lobbies |
| PGR 4 (Project Gotham Racing 4) | Racing | Versus | 8 | 1 | No | Local network multiplayer |
| Left 4 Dead 2 | Co-op shooter | Co-op, Versus | 8 | 2 | Yes | Split-screen + LAN for campaign/versus |
| Call of Duty 4: Modern Warfare | FPS | Versus | 18 | 4 | Yes | Private LAN matches with split-screen |
| Call of Duty: World at War | FPS | Co-op, Versus | 18 | 4 | Yes | Includes co-op (e.g., Zombies) via LAN |
| Minecraft: Xbox 360 Edition | Sandbox | Co-op | 8 | 4 | Yes | Local network play with multiple consoles |
| Borderlands 2 | RPG shooter | Co-op | 4 | 2 | Yes | 4-player co-op over System Link |
| Diablo III: Ultimate Evil Edition | Action RPG | Co-op | 4 | 4 | Yes | Couch co-op; LAN supported for local network sessions |
