# List of LGBT characters in film and television — Selected Characters M–Z

| Character | Title | Orientation / Gender Identity | Format | Notes |
| --- | --- | --- | --- | --- |
| Max (Maxine) | The L Word | Lesbian | TV series | One of the prominent LGBTQ characters in the ensemble |
| Mitchell Pritchett | Modern Family | Gay | TV series | Part of a central same-sex couple |
| Nomi Marks | Sense8 | Transgender woman | TV series | Main character; identity is explicit in the narrative |
| Omar Little | The Wire | Gay | TV series | Iconic character; sexuality is explicit |
| Piper Chapman | Orange Is the New Black | Bisexual | TV series | Central character in the prison dramedy |
| Quentin Crisp | The Naked Civil Servant | Gay | TV film | Biographical television film about Quentin Crisp |
| Robin Buckley | Stranger Things | Lesbian | TV series | Sexuality is discussed on-screen |
| Santino Rice? (example removed) |  |  |  |  |
| Sophia Burset | Orange Is the New Black | Transgender woman | TV series | Important supporting character |
| Titus Andromedon | Unbreakable Kimmy Schmidt | Gay | TV series | Main cast character |
| Valencia Perez | Crazy Ex-Girlfriend | Lesbian | TV series | Character later identifies as lesbian |
| Villanelle (Oksana Astankova) | Killing Eve | Bisexual | TV series | Sexuality portrayed through relationships |
| Yossi | Yossi & Jagger | Gay | Film | One of the two central soldiers in the romance |
| Zee (Z) | The L Word: Generation Q | Queer / Non-binary | TV series | Character presented with non-binary identity |
|  |  |  |  |  |
