# List of Shinto shrines in Taiwan
> List of shrines

| Shrine name | Location | Rank | Enshrined deity |
| --- | --- | --- | --- |
| Takao Shrine (高雄神社) | Takao | 県社 | Prince Yoshihisa, Ōmononushi no Mikoto, Emperor Sutoku |
| Akō Shrine (阿緱神社) | Heitō | 県社 | Prince Yoshihisa |
| Okayama Shrine (岡山神社) | Kōzan district | 郷社 | Prince Yoshihisa, Three Kami Deities of Cultivation, Amaterasu, Emperor Meiji |
| Chōshū Shrine (潮州神社) | Chōshū district | 郷社 | Prince Yoshihisa, Amaterasu, Toyōke no Ōmikami, Ōkuninushi no Kami |
| Tōkō Shrine (東港神社) | Tōkō district | 郷社 | Prince Yoshihisa, Three Kami Deities of Cultivation, Amaterasu |
| Hōzan Shrine (鳳山神社) | Hōzan district | 郷社 | Prince Yoshihisa, Three Kami Deities of Cultivation |
| Rikō Shrine (里港神社) | Heitō district |  | Prince Yoshihisa, Amaterasu, Mizuhanome no Kami |
| Katō Shrine (佳冬神社) | Tōkō district |  | Prince Yoshihisa, Three Kami Deities of Cultivation, Amaterasu |
| Kizan Shrine (旗山神社) | Kizan district |  | Prince Yoshihisa, Three Kami Deities of Cultivation, Emperor Antoku |
| Kōshun Shrine (恒春神社) | Kōshun district |  | Prince Yoshihisa, Three Kami Deities of Cultivation |
