# Example GCSE vs A level Subject Availability and Typical Pathways (UK secondary)

| Subject | Typical at GCSE? | Typical at A level? | Notes on progression / constraints |
| --- | --- | --- | --- |
| English Language | Yes (usually part of core) | Sometimes | Often offered as A level English Language; many schools prioritize Literature |
| English Literature | Yes (common) | Yes | A level often expects strong GCSE grade in English |
| Mathematics | Yes (core) | Yes | Further Mathematics typically requires strong GCSE Maths and concurrent A level Maths |
| Combined Science | Yes | No | Serves as GCSE route; A levels are taken as separate sciences |
| Biology | Yes (as Separate Science) | Yes | Usually requires GCSE Biology (or strong Combined Science) |
| Chemistry | Yes (as Separate Science) | Yes | Often requires higher GCSE grades in science and maths |
| Physics | Yes (as Separate Science) | Yes | Often requires strong GCSE maths/science performance |
| History | Yes | Yes | A level typically follows from GCSE but may be possible without it in some schools |
| Geography | Yes | Yes | Similar pathway to History; fieldwork emphasis grows at A level |
| Computing / Computer Science | Yes (optional) | Yes | Some schools require GCSE Computing for A level; others allow entry via maths ability |
| Business | Yes (optional) | Yes | Can be started at A level without GCSE in many schools |
| Economics | Sometimes (less common at GCSE) | Yes | Often appears mainly at A level rather than GCSE |
| Psychology | Rare at GCSE | Yes | Common A level option; usually no GCSE prerequisite |
| Sociology | Rare at GCSE | Yes | Often available primarily at A level |
| Art & Design | Yes | Yes | Portfolio-based at both levels; A level builds on GCSE work |
| Music | Yes | Yes | A level may require instrument/grade standard depending on school |
| PE | Yes (optional) | Sometimes | A level PE availability varies by sixth form; practical/theory balance changes |
| Media Studies | Sometimes | Yes | Availability varies; often stronger presence at A level |
| Photography | Sometimes | Yes | Often housed within Art & Design departments; availability varies |
| Religious Studies / Philosophy | Sometimes | Yes | May appear as RS at GCSE and Philosophy/Ethics at A level depending on school |
