# Motorola Rizr
> External links

| Type | Specification |
| --- | --- |
| Battery Life | Talk: 5 hours; Video playback: 5 hours; Music playback: 12 hours; Standby: 380 hours |
| Phone Book Capacity | Unlimited (limited only by memory capacity) |
| Video Capture | .mov 320*240 @ 30 frame/s |
| Email Client | Protocols Supported: POP3, IMAP4, SMTP |
| EMS / Picture Messaging | EMS 5.0 |
| Java ME | Version: MIDP 2.0 |
| Predictive Text Entry | Technology: iTAP |
| Text Messaging | 2-Way |
| Voice Dialing | speaker-independent |
| Wireless Internet | WAP 2.0, xHTML |
| Alarm | Yes |
| Calculator | Yes |
| Calendar | Yes |
| Custom Graphics | Yes |
| Data-Capable | Yes |
| Digital TTY/TDD | Yes |
| Games | Yes |
| MMS | Yes |
| Multiple Languages | Yes |
| Multiple Numbers per Name | Yes |
| PC Sync | Yes |
| Picture ID | Yes |
| Polyphonic Ringtones | Yes |
| Ringer ID | Yes |
| Side Keys | Yes |
| Speaker Phone | Yes |
| Text Messaging Templates | Yes |
| Vibrate | Yes |
| Voice Memo | Yes |
|  | Wikimedia Commons has media related to Motorola mobile phones . |
