# Syndrome Fact Sheet  Key Features, Tests, and (Occasional) Gene Mentions

| Condition | Key clinical features | Common test used | Typical genetic finding (broad) | Management highlights |
|---|---|---|---|---|
| Down syndrome | hypotonia, characteristic facies | NIPT/karyotype | trisomy 21 | cardiac screening |
| Turner syndrome | short stature, streak gonads | karyotype | monosomy X | estrogen replacement |
| Klinefelter syndrome | infertility, tall stature | karyotype | XXY | testosterone therapy |
| Cystic fibrosis | chronic lung infections | sweat test | CFTR variants (gene mentioned) | airway clearance |
| Duchenne muscular dystrophy | progressive weakness | CK + genetic test | DMD gene involvement | steroids, rehab |
| Marfan syndrome | aortic root dilation | echocardiography | FBN1 variants (gene mentioned) | beta-blockers |
| Phenylketonuria | neurotoxicity without diet | newborn screen | PAH variants (gene mentioned) | low-Phe diet |
| Cri-du-chat syndrome | high-pitched cry | karyotype/FISH | 5p deletion | early intervention |
| Oguchi disease | night blindness | ERG | SAG/GRK1 (genes mentioned) | symptomatic care |
| Neurofibromatosis type 1 | café-au-lait spots | clinical criteria | NF1 variants (gene mentioned) | surveillance |
