# Common Electrical Components  Typical Resistance and Impedance Ranges

| Item | Typical value | Units | Conditions | What it represents |
| --- | --- | --- | --- | --- |
| Carbon film resistor (1/4 W) | 10 – 1,000,000 | Ω | 25°C | Component resistance |
| Nichrome heating element (toaster) | 8 – 20 | Ω | Operating temperature | Component resistance |
| Copper hookup wire (24 AWG, 1 m) | 0.085 | Ω | 20°C | Resistance of a specific geometry |
| Coaxial cable (RG-58) | 50 | Ω | RF characteristic | Characteristic impedance |
| Loudspeaker (nominal) | 4 – 8 | Ω | 1 kHz | AC impedance approximation |
| Electrolytic capacitor (100 µF) | 0.05 – 0.5 | Ω | 100 kHz | ESR (equivalent series resistance) |
| Inductor (10 µH) | 6.3 | Ω | 100 kHz | Reactance X_L = 2πfL |
| Resistor network (SIP, 8×10k) | 10,000 | Ω | 25°C | Per-element resistance |
| AA alkaline battery | 0.1 – 0.3 | Ω | Fresh, 1 kHz | Internal resistance |
| ESD wrist strap | 1,000,000 | Ω | Safety spec | Series safety resistor |
