# Need for Speed franchise — modern entries (one title per row)

| Sub-era | Title | Release year | Platform(s) at launch | Developer | Publisher |
| --- | --- | --- | --- | --- | --- |
| Shift sub-series | Need for Speed: Shift | 2009 | PS3, Xbox 360, PC | Slightly Mad Studios | Electronic Arts |
| HP revival | Need for Speed: Hot Pursuit | 2010 | PS3, Xbox 360, PC | Criterion Games | Electronic Arts |
| Story-driven | Need for Speed: The Run | 2011 | PS3, Xbox 360, PC | EA Black Box | Electronic Arts |
| Reimagining | Need for Speed: Most Wanted | 2012 | PS3, Xbox 360, PC | Criterion Games | Electronic Arts |
| Cross-gen launch | Need for Speed Rivals | 2013 | PS4, Xbox One, PS3, Xbox 360, PC | Ghost Games / Criterion Games | Electronic Arts |
| Reboot | Need for Speed | 2015 | PS4, Xbox One | Ghost Games | Electronic Arts |
| Police vs racers | Need for Speed Payback | 2017 | PS4, Xbox One, PC | Ghost Games | Electronic Arts |
| Modern | Need for Speed Heat | 2019 | PS4, Xbox One, PC | Ghost Games | Electronic Arts |
| Current | Need for Speed Unbound | 2022 | PS5, Xbox Series X/S, PC | Criterion Games | Electronic Arts |
