# 1983 NASCAR Budweiser Late Model Sportsman Series
> Calendar

| No. | Race Title | Track | Date |
| --- | --- | --- | --- |
| 1 | Goody's 300 | Daytona International Speedway | Feb 19 |
| 2 | Eastern 150 | Richmond Fairgrounds Raceway | Feb 26 |
| 3 | Coca-Cola 200 | North Carolina Motor Speedway | Mar 5 |
| 4 | Mello Yello 200 | Hickory Speedway | Mar 13 |
| 5 | Miller Time 250 | Martinsville Speedway | Mar 20 |
| 6 | Holly Farms Fried Chicken 399 | North Wilkesboro Speedway | Apr 3 |
| 7 | WDVA 200 | South Boston Speedway | Apr 16 |
| 8 | Coca-Cola 200 | Greenville-Pickens Speedway | Apr 30 |
| 9 | Hampton Chevrolet 200 | Langley Speedway | May 7 |
| 10 | Late Model Sportsman 200 | Dover Downs International Speedway | May 14 |
| 11 | Southeastern 150 | Bristol Motor Speedway | May 21 |
| 12 | Charlotte Mello Yellow 300 | Charlotte Motor Speedway | May 28 |
| 13 | Busch 200 | South Boston Speedway | Jun 4 |
| 14 | Shoney's 200 | Hickory Motor Speedway | Jun 11 |
| 15 | L.D. Swain & Son 200 | Orange County Speedway | Jun 18 |
| 16 | Rose's Stores 200 | South Boston Speedway | Jun 25 |
| 17 | Mason Day Paving 200 | Orange County Speedway | Jul 2 |
| 18 | Goody's Invitational 200 | Caraway Speedway | Jul 6 |
| 19 | Mello Yello 200 | Orange County Speedway | Jul 9 |
| 20 | Coca-Cola 200 | South Boston Speedway | Jul 23 |
| 21 | Goody's 200 | Hickory Motor Speedway | Jul 30 |
| 22 | Virginia 200 | Langley Speedway | Aug 6 |
| 23 | Kroger NASCAR 200 | Indianapolis Raceway Park | Aug 13 |
| 24 | Dapco Auto Parts 200 | Greenville-Pickens Speedway | Aug 20 |
| 25 | Free Service Tire Stores 150 | Bristol Motor Speedway | Aug 26 |
| 26 | Bobby Isaac Memorial 200 | Hickory Motor Speedway | Sep 3 |
| 27 | Darlington 250 | Darlington Raceway | Sep 4 |
| 28 | Miller Time 150 | Richmond Fairgrounds Raceway | Sep 10 |
| 29 | Coca-Cola 400 | North Wilkesboro Speedway | Sep 11 |
| 30 | Miller High Life Invitational 300 | South Boston Speedway | Sep 17 |
| 31 | Autumn 150 | Martinsville Speedway | Sep 24 |
| 32 | Soloman Enterprises 200 | Orange County Speedway | Oct 1 |
| 33 | Miller Time 300 | Charlotte Motor Speedway | Oct 8 |
| 34 | Benny Yount Chrysler-Plymouth 200 | Hickory Motor Speedway | Oct 16 |
| 35 | Cardinal 250 | Martinsville Speedway | Oct 30 |
