# List of cruise ships
> E

| Name | Operator | Began operation | Tonnage | Status |
| --- | --- | --- | --- | --- |
| easyCruiseOne | easyCruise | 2005 | 4,077 | Operating. Formerly: Renaissance Two , The Neptune |
| The Emerald | Louis Cruise Lines / Thomson Cruises | 1997 | 26,428 | Operating. Formerly: Regent Rainbow, Diamond Island, Santa Rosa |
| Emerald Princess | Princess Cruise Lines | 2007 | 113,000 | Operating |
| Empress | Pullmantur Cruises | 1990 | 48,563 | Operating. Formerly: Nordic Empress and Empress of the Seas |
| Empress Star | Various | 2009 |  | Operating |
| Empress of Canada | CP Ships | 1961 | 27,284 | Scrapped. Built as an ocean liner, sold to Carnival Cruise Lines in 1972, and became its first ship, the Mardi Gras . Sold in 1993 to Epirotiki Line , and renamed the Olympic , Star of Texas , Lucky Star and Apollon . Sold for scrap in 2003. |
| Enchanted Capri | Demar Instaladora y Constructora, S.A de C.V. México | 1998 | 16,331 | Currently operating as a hotel ship for oil rigs in the Mexican Gulf - Sold off in 2003 - Formerly: Azerbaihzan , Arkadia , Island Holiday |
| Enchanted Isle | Commodore Cruise Line | 1990 | 23,395 | Ended service 2000; scrapped in 2004 as New Orleans |
| Enchanted Seas | Commodore Cruise Line | 1990 | 23,500 | Ended service 1995 & scrapped 2004 |
| Enchantment of the Seas | Royal Caribbean International | 1997 | 81,500 | Operating. Extended in 2005. |
| Enrico C. / Enrico Costa | Costa Crosiere | 1965 | 15,889 | Formerly Provence . Ended service 1994; later Symphony , Aegean Spirit , Ocean Glory I , Classica . Scrapped 2001. |
| Eugenio C. / Eugenio Costa | Costa Crosiere | 1966 | 30,567 | Ended service 1997. Later Edinburgh Castle , The Big Red Boat II . Sold for scrap 2005. |
| Eurodam | Holland America Line | 2008 | 86,000 | Operating |
| Europa | Norddeutscher Lloyd / Hapag-Lloyd Cruises | 1965 | 21,164 | Built as Kungsholm . Ended service 1981. Sunk 1984 as Columbus C. |
| Europa | Hapag-Lloyd Cruises | 1999 | 28,890 | Operating |
| Explorer of the Seas | Royal Caribbean International | 2000 | 137,308 | Operating |
