# Master of Social Work (MSW) Degree Required Roles  Average Salary by Role and MSW Requirement Type

| Job Family | Role Title (MSW-Central) | MSW Requirement Type | Typical Employer | Avg Base Pay (USD) | Common Add-ons |
| --- | --- | --- | --- | --- | --- |
| Clinical Therapy | Therapist (MSW) | MSW required; clinical track | Outpatient clinic | $63,500 | Productivity bonus |
| Clinical Therapy | Licensed Clinical Social Worker (LCSW) | MSW + clinical licensure required | Hospital/health system | $78,900 | On-call pay |
| Medical Social Work | Medical Social Worker (MSW) | MSW required | Hospital | $70,200 | Shift differential |
| Behavioral Health | Psychiatric Social Worker (MSW/LCSW) | MSW required; LCSW often preferred | County mental health | $82,400 | Public-sector benefits |
| Child Welfare | Child Welfare Social Worker (MSW) | MSW required (or strongly preferred) | State agency | $66,100 | Step increases |
| School Social Work | School Social Worker (MSW) | MSW required + school credential | Public school district | $64,800 | Summers/extra duty |
| Hospice/Palliative | Hospice Social Worker (MSW) | MSW required | Hospice provider | $69,300 | Mileage reimbursement |
| Veterans Services | VA Social Worker (MSW) | MSW required | Veterans health system | $79,600 | Federal locality pay |
| Program Leadership | MSW Program Manager | MSW required for role | Nonprofit | $74,500 | Stipends/401(k) match |
| Forensic/Justice | Forensic Social Worker (MSW) | MSW required | Courts/corrections | $71,900 | Hazard/shift pay |
