# High - speed multimedia radio
> Frequencies and channels

| Channel | Center Frequency | FCC Rules |
| --- | --- | --- |
| 132 | 5.660 GHz | Part 97 |
| 136 | 5.680 GHz | Part 97 |
| 140 | 5.700 GHz | Part 97 |
| 149 | 5.745 GHz | Part 97 & Part 15 |
| 153 | 5.765 GHz | Part 97 & Part 15 |
| 157 | 5.785 GHz | Part 97 & Part 15 |
| 161 | 5.805 GHz | Part 97 & Part 15 |
| 165 | 5.825 GHz | Part 97 & Part 15 |
| 169 | 5.845 GHz | Part 97 |
| 173 | 5.865 GHz | Part 97 |
| 177 | 5.885 GHz | Part 97 |
| 180 | 5.905 GHz | Part 97 |
