# Marco's Pizza Menu Prices by Crust Style and Size

| Pizza Item | Variant / Crust Style | Size | Price (USD) |
| --- | --- | --- | --- |
| Pepperoni Magnifico | Classic Crust | Small (10") | $10.99 |
| Pepperoni Magnifico | Classic Crust | Medium (12") | $13.99 |
| Pepperoni Magnifico | Classic Crust | Large (14") | $16.99 |
| Pepperoni Magnifico | Thin Crust | Medium (12") | $14.99 |
| White Cheezy | Classic Crust | Medium (12") | $14.49 |
| White Cheezy | Classic Crust | Large (14") | $17.49 |
| The Works | Classic Crust | Medium (12") | $15.99 |
| The Works | Classic Crust | Large (14") | $18.99 |
| Deluxe | Gluten-Free Crust | Small (10") | $13.49 |
| Deluxe | Gluten-Free Crust | Medium (12") | $16.49 |
