# Animal Vocabulary Sheet  Male Female Young with Notes

| Animal | Male Name | Female Name | Young Name | Notes |
| --- | --- | --- | --- | --- |
| Goose | gander | goose | gosling | common farm bird |
| Turkey | tom | hen | poult | also called turkey chick |
| Donkey | jack | jenny | foal | young may also be called colt/filly |
| Camel | bull | cow | calf | dromedary or Bactrian |
| Whale | bull | cow | calf | used for many whale species |
| Kangaroo | boomer | flyer | joey | marsupial young |
| Elephant | bull | cow | calf | long gestation |
| Seal | bull | cow | pup | pinniped |
| Chicken | rooster | hen | chick | young male called cockerel |
| Fox | dog fox | vixen | kit, cub | regional usage varies |
