# Law & Order  Special Victims Unit —  Raw  (TV Episode 2009) — Episode Cast

| Performer | Character (in this episode) | Notes |
|---|---|---|
| Mariska Hargitay | Det. Olivia Benson | Main cast |
| Christopher Meloni | Det. Elliot Stabler | Main cast |
| Ice-T | Det. Odafin "Fin" Tutuola | Main cast |
| Richard Belzer | Det. John Munch | Main cast |
| Dann Florek | Capt. Donald Cragen | Main cast |
| B.D. Wong | Dr. George Huang | Main cast |
| Tamara Tunie | Dr. Melinda Warner | Main cast |
| Callie Thorne | Casey Novak | Appears in episode |
| Mike Pniewski | Sgt. Eddie Mugavero | Recurring |
| Kevin Kane | Det. Terry Bruno | Guest |
| Navid Negahban | Omar Pena | Guest |
| Liza Colón-Zayas | Felicia Catano | Guest |
