# Sri Lanka Gold Price per Gram (LKR) — Daily Table with Purity Columns (24K & 22K)

| Date | 1 gram 24K (LKR) | 1 gram 22K (LKR) | Market |
|---|---:|---:|---|
| 2026-01-19 | 23910 | 21910 | Sri Lanka (national average) |
| 2026-01-18 | 23800 | 21810 | Sri Lanka (national average) |
| 2026-01-17 | 23730 | 21750 | Sri Lanka (national average) |
| 2026-01-16 | 23620 | 21640 | Sri Lanka (national average) |
| 2026-01-15 | 23480 | 21510 | Sri Lanka (national average) |
| 2026-01-14 | 23360 | 21400 | Sri Lanka (national average) |
| 2026-01-13 | 23210 | 21270 | Sri Lanka (national average) |
| 2026-01-12 | 23080 | 21160 | Sri Lanka (national average) |
| 2026-01-11 | 22990 | 21080 | Sri Lanka (national average) |
